C0151714	hypermagnesemia
C0027441	nasopharyngitis
C0014724	belching
C0035455	Rhinitis
C0022104	Colon Spastic
C0027051	heart attack
C0023903	hepatic neoplasia
C0242528	azotaemia
C0027769	nervous tension
C0151786	muscle weakness
C0085680	hypochloraemia
C0086543	cataract
C0232492	abdominal pain upper
C0917801	insomnia
C0013395	dyspepsia
C0004093	asthenia
C0042963	emesis
C0034065	Embolism pulmonary
C0005424	biliary tract disorder
C0162529	colitis ischemic
C0030196	Extremity pain
C0010054	arteriosclerotic heart disease
C0235329	Small intestinal obstruction
C0030554	Paraesthesia
C0027651	neoplasia
C0039070	Fainting
C0020625	blood sodium decreased
C0037383	sneezing
C0231218	Feeling unwell
C0020621	hypokalaemia
C0024050	lower GI bleeding
C0149931	migraine
C0158252	intervertebral disc disorder
C0029456	osteoporosis
C0020538	High blood pressure
C0221706	road traffic accident
C1510475	diverticulosis
C0003873	Arthritis rheumatoid
C0042798	Abnormal vision
C0003850	arteriosclerosis
C0038999	bulging
C0029408	Osteoarthritis
C0008033	pleural pain
C0017168	acid reflux
C0016053	fibromyalgia
C0024902	breast pain
C0030252	palpitation
C0019360	herpes zoster
C0006144	Breast cyst
C0027080	myoglobinuria
C0029442	osteomalacia
C0036396	ischias
C0003862	Aching joints
C0003864	arthritis
C0013146	abuse
C0009376	colonic polyp
C0008325	cholecystitis
C0231807	Dyspnea exertional
C0151636	Extrasystoles Ventricular
C0035854	acne rosacea
C0042024	Incontinence
C0016977	gall bladder
C0011880	diabetic acidosis
C0011884	Diabetic Retinopathy
C0005741	blepharitis
C0034186	pyelonephritis
C0043352	aptyalism
C0005747	Blepharospasm
C0002940	aneurysm
C0005001	benign prostatic hyperplasia
C0435630	wrist fracture
C0012691	dislocation
C1510431	Superficial thrombophlebitis
C0011124	Decreased Libido
C0011127	decubitus ulcer
C0035078	kidney failure
C0025289	meningitides
C0206062	ild
C0242453	prostatism
C0085614	Atrioventricular block first degree
C0010200	Cough
C0042594	Vestibular disorder
C0086769	panic attack
C0028084	nightmare
C1321523	wandering atrial pacemaker
C0024103	Breast Lump
C0028734	nocturia
C0042571	spinning sensation
C0011849	Diabetes
C0006277	bronchitis
C0032584	polyp
C0029443	osteomyelitis
C0034069	lung fibrosis
C0019209	enlarged liver
C0043246	laceration
C0009421	coma
C0026846	amyotrophy
C0006625	cachectic
C0022679	renal cyst
C0031117	neuropathy peripheral
C0262428	collagenvascular disease
C0004623	Bacterial infection
C0042384	angiitis
C0036572	convulsion
C0162316	iron deficiency anaemia
C0878544	Cardiomyopathy
C0006266	bronchial spasm
C0015802	femur fracture
C0149756	fascitis plantar
C0018802	Cardiac decompensation
C0038362	mucositis oral
C0152031	joint swelling
C0019270	hernia
C0017601	glaucoma
C0026265	mitral valve disease NOS
C0085649	edema extremities
C0149726	pulmonary mass
C0016034	breast dysplasia
C0031542	Phlebitis
C0024121	lung neoplasms
C0575090	balance disorder
C0030312	bone marrow failure
C0011168	deglutition disorder
C0001623	adrenal insufficiency
C0152027	sensory disturbance
C0152025	polyneuropathy
C0392525	Nephrolithiasis
C0013362	dysarthria
C0020651	Hypotension Orthostatic
C0036439	Scoliosis
C0262385	autonomic instability
C0035410	rhabdomyolysis
C0152169	renal colic
C0023211	bundle branch block left
C0038454	apoplexy
C0024523	malabsorption
C0003537	aphasia
C0002622	Amnesia
C0015967	body temperature increased
C0085624	burning sensation
C0085593	chill
C0031511	phaeochromocytoma
C0042029	Infection Urinary Tract
C0028081	night sweat
C0022575	keratitis sicca
C0011175	dehydration
C0004134	Ataxia
C0007787	transient ischaemic attack
C0007784	cerebral haemorrhage
C0011860	Mod
C0020443	elevated cholesterol
C0039231	heart rate increased
C0270996	eye swelling
C0033953	psychosexual disorder
C0003467	Anxiety
C0015469	facial palsy
C0013928	fat embolism
C0041956	ureteral obstruction
C0022658	disorder Renal
C0027719	nephrosclerosis
C0001957	delirium tremens
C0003872	psoriatic arthritis
C0038436	post traumatic stress disorder
C0023067	laryngitis
C0042373	angiopathy
C0021400	flu
C0007570	coeliac disease
C0001546	adjustment disorder
C0024586	carcinoid syndrome
C0027497	nausea
C0973461	dysphasia
C0152128	drug withdrawal
C0032227	Pleural Effusion
C0037199	Sinusitis
C0020433	Bilirubinaemia
C0497327	amentia
C0235946	cerebral atrophy
C0007859	cervicalgia
C0020473	hyperlipaemia
C0006112	metabolic encephalopathy
C0011881	Diabetic Nephropathy
C0014038	encephalitis
C0242362	Intervertebral Disc Herniation
C0004153	Atherosclerosis
C0003504	aortic regurgitation
C0027796	Neuralgia
C0018991	hemiplegia
C0519030	pneumonia Klebsiella
C0034067	emphysema
C0004238	AFIB
C0032768	Postherpetic Neuralgia
C0014457	Eosinophil Count Increased
C0027813	Neuritis
C0522055	abnormal ECG
C0016663	Bone Fracture Spontaneous
C0017574	gingivitis
C0149778	soft tissue infection
C0016242	floaters
C0040136	thyroid neoplasia
C0518988	dental abscess
C0040460	dental pain
C0520474	aseptic necrosis bone
C0006325	bruxism
C0035317	retinal bleeding
C0239739	gingival pain
C0029400	bone inflammation
C0006849	candidiasis of mouth
C0040435	tooth disease
C0221776	mouth pain
C0022408	arthropathy
C0031039	pericardial effusion
C0242379	lung neoplasm malignant
C0021311	infection
C0456909	blindness
C0019348	herpes simplex
C0018965	blood in urine
C0023467	Acute myeloblastic leukemia
C0151611	abnormal EEG
C0017152	gastric inflammation
C0274435	Transfusion reaction
C0000786	abortion spontaneous
C0149801	urosepsis
C0013473	eating disorder
C0036341	schizophrenia
C0018808	cardiac murmur
C0018800	cardiac enlargement
C0033687	proteinuria
C0836924	increased platelet count
C0221150	odynophagia
C0026769	multiple sclerosis
C0042164	intraocular inflammation
C0043094	weight gain
C0014549	Convulsions Grand Mal
C0014394	Enuresis
C0085615	bundle branch block right
C0031212	Personality disorder
C0037023	salivary gland inflammation
C0340274	pregnancy induced hypertension
C0007860	cervicitis
C0019291	hernia hiatal
C0007868	cervical dysplasia
C0024205	adenitis
C0013491	ecchymoses
C0686347	tardive dyskinesia
C0005826	blood pressure abnormal
C0080194	muscle strain
C0042136	uterine infection
C0033038	Ejaculation Premature
C0085602	excessive thirst
C0013456	ear ache
C0151632	elevated erythrocyte sedimentation rate
C0020437	Blood Calcium Increased
C0162298	joint stiffness
C0349231	phobia
C0014868	esophagitis
C0027726	nephrotic syndrome
C0034886	proctalgia
C0151825	bone pain
C0009917	contracture
C0033246	proctitis
C0038012	spondylitis
C0038019	spondylosis
C1384606	dyspareunia
C0020502	hyperparathyroidism
C0037315	sleep apnea
C0034735	Raynauds phenomenon
C0259768	wound dehiscence
C0155773	portal vein thrombosis
C0018674	head injury
C0003708	Arachnoiditis
C0039103	synovitis
C0020458	hyperhidrosis
C0028738	nystagmus
C0017181	gastrointestinal bleed
C0003635	apraxia
C0232726	Rectal Tenesmus
C0002726	amyloidosis
C1510472	Drug addiction
C0033581	prostatitis
C0015806	femoral neck fracture
C0037672	sleep walking
C1136085	monoclonal gammopathy
C0009938	bruise
C0008767	Scar
C0018799	cardiac disease
C0030794	pain pelvic
C0019557	hip fracture
C0311394	difficulty in walking
C0030319	panic disorder
C0018817	atrial septal defect
C0039503	Tendinitis
C0178879	obstructive uropathy
C0042267	Colpitis
C0221245	Rhagades
C1442903	bone spur
C0030305	pancreatitis
C0002103	allergic rhinitis
C0029882	otitis media
C0016807	intestinal functional disorder
C0015732	faecal incontinence
C0007286	carpal tunnel
C0018932	haematochezia
C0021141	ADH inappropriate
C0442874	neuropathy
C0149725	Chest infection
C0700594	radiculopathy
C1527344	dysphonia
C0037928	myelopathy
C0025222	black stools
C0013428	dysuria
C0085635	flashing lights
C0342579	Electrolyte disorder
C1384666	Decreased hearing
C0026267	mitral valve prolapse
C0015695	fatty liver
C0029163	mouth bleeding
C0005586	bipolar disorder
C0013922	embolism
C0013298	duodenitis
C0025202	malignant melanoma
C0699744	ear infection
C0085610	sinus bradycardia
C0033036	atrial ectopic beats
C0029878	external ear infection
C0027121	muscle inflammation
C0262414	cervical vertebral fracture
C0020295	hydronephrosis
C0011334	dental caries
C0178415	elevated prostate specific antigen
C0149745	mouth ulcer
C0030920	gastroduodenal ulcer
C0016169	fistula
C0149514	acute bronchitis
C0018418	gynaecomastia
C0085682	Hypophosphataemia
C0020461	Excess potassium
C0151970	esophageal ulcer
C0001126	renal tubular acidosis
C0042487	phlebothrombosis
C0392699	dysaesthesia
C0018021	goiter
C0220983	metabolic alkalosis
C0497156	Adenopathy
C0206504	tympanic membrane perforation
C0003811	Arrhythmia
C0085605	Hepatic failure
C0020505	hyperalimentation
C0080179	Spinal fracture
C0242422	Parkinson
C0026650	movement disorder
C0024437	macula lutea degeneration
C0026858	musculoskeletal pain
C0033931	psychosomatic disease
C0151744	Cardiac ischemia
C1456784	paranoia
C0035304	retinal degeneration
C0149516	chronic sinusitis
C0041582	ulcer
C0035522	rib fracture
C0263912	rotator cuff syndrome
C0021099	impetigo
C0149531	fractured pelvis NOS
C0041912	Infection Upper Respiratory
C0002994	angioedema
C0037052	sick sinus syndrome
C0020550	hyperthyroidism
C0018801	cardiac failure
C0264906	atrioventricular block second degree
C0031350	pharyngeal inflammation
C0001430	adenoma
C0014544	epilepsy
C0178428	sinus arrest
C0002962	angina
C0026848	muscle disorder
C0006384	bundle branch block
C0042514	tachycardia ventricular
C0027962	melanocytic naevus
C0026821	cramp
C0004239	atrial flutter
C0036974	cardiovascular collapse
C0020488	hypernatraemia
C0042109	hive
C0027022	MPD
C0042420	syncope vasovagal
C0038395	streptococcal infection
C0004030	aspergillosis
C0085636	Light sensitivity
C0014335	enteritis
C0005961	bone marrow transplant
C0149925	SCLC
C0009319	colitis
C0020557	elevated triglycerides
C0271650	Glucose intolerance
C0026764	Multiple Myeloma
C0151966	duodenal ulcer haemorrhage
C0010823	CMV infection
C0018989	hemiparesis
C0085655	polymyositis
C0004610	Bacteraemia
C0040261	onychomycosis
C0699790	carcinoma of the colon
C0152086	traumatic arthropathy
C0027059	myocarditis
C0018824	cardiac valvulopathy
C0014118	endocarditis
C0151517	Atrioventricular block complete
C0042510	ventricular fibrillation
C0017086	gangrene
C0022116	ischaemia
C0041755	ADVERSE DRUG EFFECT
C0426636	defaecation urgency
C0023890	cirrhosis
C0040997	trigeminal neuralgia
C0019917	hordeolum
C0032617	polyuria
C0031090	periodontal disease
C0028754	obesity
C0017979	glucosuria
C0007117	basal cell carcinoma
C0162297	pulmonary arrest
C0018926	haematemesis
C0018188	granuloma
C0025287	meningeal irritation
C0036117	Salmonella
C0011854	insulin dependent diabetes mellitus
C0015544	failure to thrive
C0007177	Cardiac tamponade
C0159877	ankle fracture
C0019193	hepatitis toxic
C0014130	endocrine disorder
C0037195	Sinus headache
C0151465	renal abscess
C0012813	diverticulitis
C0011606	dermatitis exfoliative
C0038353	gastric dilatation
C0005687	distended bladder
C0149521	pancreatitis relapsing
C0040046	Thrombophlebitis
C0235761	nasal septal perforation
C0037011	shoulder pain
C0438215	Abnormal Laboratory Findings
C0032371	Polio
C0740401	duodenal ulcer perforation
C1253936	joint effusion
C0018818	ventricular septal defect
C0003868	gouty arthritis
C0039240	Supraventricular tachycardia
C0002064	respiratory alkalosis
C0151699	haemorrhage intracranial
C1269683	major depression
C0917799	excessive sleepiness
C0024299	lymphoma
C0740858	substance abuse
C0003044	animal bite
C0007820	cerebral vascular disorder
C0314719	dry eye
C0029927	Ovarian Cyst
C0085606	micturition urgency
C0042025	Stress incontinence
C0152032	hesitancy
C0016658	bone fracture
C0028259	nodule
C0010709	cyst
C0178282	Abdominal hernia
C0036421	Scleroderma
C0034072	Cor pulmonale
C0037036	excessive salivation
C0235527	right heart failure
C0038525	subarachnoid haemorrhage
C0006826	cancer
C0037578	soft tissue injuries
C1257843	colitis pseudomembranous
C0025323	heavy menstrual period
C0025322	premature menopause
C0019322	umbilical hernia
C0033860	psoriasis
C0011616	contact dermatitis
C0005745	blepharoptosis
C0017565	Bleeding gums
C0014488	epicondylitis
C0027343	ingrowing nail
C0036508	dermatitis seborrheic
C0006852	candidiasis of vagina
C0262431	Spinal Compression Fracture
C0522224	palsies
C0014553	petit mal
C0018099	gout
C0917798	cerebral ischaemia
C0015423	eyelid diseases
C0038358	gastric ulcer
C0031099	periodontitis
C0014518	Lyell
C0022603	seborrhoeic keratosis
C0022602	actinic keratosis
C0008301	choking
C0032633	dyshidrosis
C0003507	aortic stenosis
C0019079	coughing blood
C0206063	radiation pneumonitis
C0017675	Glossitis
C0004626	bacterial pneumonia
C0001948	alcohol consumption
C0553723	squamous cell carcinoma of skin
C0235974	pancreatic cancer
C0039520	Tenosynovitis
C0023885	liver abscess
C0026986	myelodysplasia
C0034887	rectal polyp
C0006107	brain concussion
C0037299	cutaneous ulcer
C0232943	menometrorrhagia
C0015468	face pain
C0004245	atrioventricular block
C0020565	breast enlargement
C0271468	Eustachian tube disorder
C0024421	macroglossia
C0236720	flashbacks
C0149512	acute sinusitis
C0242172	Pelvic Inflammatory Disease
C0278008	Altered Bowel Function
C0151480	antinuclear antibody positive
C0235660	galactorrhea
C0036337	schizoaffective disorder
C0006012	borderline personality disorder
C0027531	injury of neck
C0036689	Pharyngitis Streptococcal
C0162283	Nephrogenic diabetes insipidus
C0151798	hepatic necrosis
C0020541	portal hypertension
C0011882	Diabetic neuropathy
C0006118	brain neoplasm
C0014869	reflux esophagitis
C0025874	Breakthrough bleeding
C0018500	hair disease
C0262627	Seroma
C0158328	trigger finger
C0027707	Interstitial nephritis
C0027339	Nail disorder
C0151436	allergic vasculitis
C0023646	lichen planus
C0022572	keratoacanthomas
C0345996	milia
C0007282	carotid artery stenosis
C0236048	gastric polyps
C0870082	hyperkeratosis
C0600327	toxic shock
C0011649	dermoid cyst
C0085580	essential hypertension
C0019163	hepatitis B
C0039685	tetralogy of Fallot
C0152021	congenital heart disease
C0149709	hepatitis B surface antigen positive
C0009375	colon neoplasm
C0008320	cholecystectomies
C0600139	Carcinoma of Prostate
C0085619	orthopnea
C0262613	renal mass
C0006145	Breast disorder
C0024141	disseminated lupus erythematosus
C0085661	Onycholysis
C0262397	breast tenderness
C0026272	mixed connective tissue disease
C0149741	breast discharge
C0085096	Disorder Peripheral Vascular
C0206762	limb malformation
C0020514	Hyperprolactinaemia
C1261470	meningocele
C0281774	acute psychosis
C0220982	ketoacidosis
C0036202	sarcoidosis
C0035305	Detached retina
C1527407	eosinophilic pneumonia
C0008035	Chest wall pain
C0272386	tonsillar hypertrophy
C0000889	acanthosis nigricans
C0162834	hyperpigmentation
C0040213	costochondritis
C0001818	agoraphobia
C0221264	cheilosis
C0423798	Easy bruisability
C0029134	OPTIC NEURITIS
C0015408	eye injury
C0036454	scotoma
C0013595	eczema
C0040590	tracheostomy
C0149732	Muscle Rupture
C0029463	bone sarcoma
C0027819	neuroblastoma
C0025063	mediastinal tumor
C0014733	erysipelas
C0221166	paraparesis
C0242225	color blindness
C0019212	hepatorenal syndrome
C0019196	Hepatitis C
C0015403	eye infection
C0149678	EBV infection
C0007876	Caesarean Section
C0001824	agranulocytoses
C0031256	petechia
C0018946	hematoma subdural
C0017638	glioma
C0085652	pyoderma gangrenosum
C0033845	benign intracranial hypertension
C0007780	cerebral artery embolism
C0020255	hydrocephalus
C0086438	hypogammaglobulinaemia
C0702166	Acne
C0020540	malignant hypertension
C0271429	acute otitis media
C0032781	Post nasal drip
C0022893	labyrinthitis
C0037287	Nodule Skin
C0151514	atrophy of skin
C0149736	neck mass
C0040584	tracheitis
C0341858	adenomyosis
C0035439	rheumatic heart disease
C0042870	Vitamin D Deficiency
C0558489	kidney pain
C0740394	hyperuricaemia
C0037995	splenectomy
C0026919	atypical mycobacterial infection
C0030583	parotitis
C0085583	choreoathetosis
C0035309	Disorder Retinal
C0031046	pericarditis
C0021092	cerumen impaction
C0042900	vitiligo
C0030578	paronychia
C0009410	colostomy
C0040456	Tooth Impacted
C0040128	thyroid disease
C0003486	aortic aneurysm
C0011633	dermatomyositis
C0020453	hyperaesthesia
C0002736	als
C0007789	cerebral palsy
C0085666	spider angioma
C0006267	bronchiectasis
C0151620	encephalopathy hypertensive
C0271036	retinal scar
C0034902	aplasia pure red cell
C0002884	anaemia hypochromic
C0242301	furuncle
C0031111	periostitis
C0000768	birth defect
C0007758	cerebellar ataxia
C0259749	autonomic neuropathy
C0010034	corneal disorder
C0032533	polymyalgia rheumatica
C0019284	diaphragmatic hernia
C0024236	lymphedema
C0010055	coronary artery bypass graft
C0264545	pleural fibrosis
C0039483	temporal arteritis
C0162323	polyarthritis
C0031538	phimosis
C0022904	Lacrimal Disorder
C0266813	fecal occult blood
C0149520	cholecystitis acute
C0021390	inflammatory bowel disease
C0039504	tendon injury
C0002963	Prinzmetal variant angina
C0019521	hiccough
C0036830	serum sickness
C0001175	acquired immune deficiency syndrome
C0002874	Anemia aplastic
C0006105	brain abscess
C0085648	synovial cyst
C0032987	ectopic pregnancies
C0030354	Papilloma
C0032302	pneumonia primary atypical
C0152132	retinopathy hypertensive
C0029925	Ovarian cancer
C0152013	lung adenocarcinoma
C0699791	Gastric Cancer
C0040247	tinea
C0042345	varicose vein
C0031925	pilonidal cyst
C0010666	cystic acne
C0038363	aphthous stomatitis
C0040252	body tinea
C0032580	familial adenomatous polyposis
C0151971	intestinal ulcer
C0011630	Cutaneous mycosis
C0009186	coccidioidomycosis
C0020162	humerus fracture
C0042961	volvulus
C0027868	Neuromuscular Disorder
C0227791	vaginal discharge
C0851886	Pneumocystis carinii infection
C0022548	Keloid scar
C0008312	primary biliary cirrhosis
C0149721	left ventricular hypertrophy
C0149684	colon polypectomy
C0003126	anosmia
C0039621	tetany
C0476427	abnormal cervical smear
C0018916	haemangioma
C0267716	incisional hernia
C0262365	abnormal mammogram
C0003874	Arthritis bacterial
C0037998	Splenic infarction
C0019294	Hernia Inguinal
C0025286	meningioma
C0032305	Pneumocystis carinii pneumonia
C0750876	phlebitis superficial
C0262493	gallbladder polyp
C0156181	peritoneal adhesions
C1510471	hypovitaminosis
C0019151	hepatic encephalopathy
C0013405	Dyspnoea paroxysmal nocturnal
C0007280	carotid bruit
C0042847	vitamin B 12 deficiency
C0020258	normal pressure hydrocephalus
C0030486	paraplegia
C0010036	Corneal dystrophy
C0025290	Aseptic meningitis
C0001969	Alcoholic intoxication
C0007462	causalgia
C0152030	Irritation Skin
C0079035	Bradyarrhythmia
C0009946	conversion disorder
C0270629	epidural abscess
C0085694	cholecystitis chronic
C0282005	swollen scrotum
C0018621	hay fever
C0026896	myasthenia gravis
C0042133	fibroids
C0038833	superior vena cava syndrome
C0025061	mediastinal disorder
C0699885	bladder cancer
C0034372	quadriplegia
C0001925	albuminuria
C0006152	Breast swelling
C0033578	neoplasm prostate
C0034050	alveolar proteinosis
C0026987	Bone marrow fibrosis
C0019655	histoplasmosis
C0039446	telangiectases
C0035436	Rheumatic fever
C0027822	neurodermatitis
C0178421	fibroadenoma of breast
C1258666	ganglion
C0016470	food allergy
C0041976	urethritis
C0152149	ovulation pain
C0085166	bacterial vaginitis
C0019572	hirsuitism
C1527336	Sjogrens syndrome
C0042907	vitreous detachment
C0042909	Vitreous haemorrhage
C0042485	venous insufficiency
C0151790	nasal septum disorder
C0302592	carcinoma of the cervix
C0332687	Burns Second Degree
C0033893	tension headache
C0262578	night cramps
C0549567	pigmentation disorder
C0022568	keratitis
C0022671	kidney transplant
C0011848	diabetes insipidus
C0016665	fracture nonunion
C0007078	carbuncle
C0016436	folliculitis
C0022353	jaundice neonatal
C0014009	empyema
C0008924	cleft lip
C0341163	Gastric ulcer perforated
C0005818	platelet disorder
C0156215	gallbladder perforation
C1322281	Rhinitis Seasonal
C0002390	allergic alveolitis
C0006846	cutaneous candidiasis
C0009324	chronic ulcerative colitis
C0025297	Meningitis Viral
C0205929	Anal fistula
C0152018	esophageal cancer
C0553662	JRA
C0020252	hydrocele
C0022081	iritis
C0007933	chalazion
C0003834	arterial insufficiency
C0005697	neurogenic bladder
C0027430	nasal polyp
C0042134	uterine bleeding
C0156369	Uterine polyp
C0281914	musculoskeletal deformity
C0158570	vascular anomaly
C0040425	tonsillitis
C0034880	hyperacusia
C0014356	enterocolitis
C0424230	motor retardation
C0010414	cryptococcosis
C0038238	Fatty stools
C0033117	priapism
C0043145	Whiplash Injury
C0238154	epidural hematoma
C0035302	Retinal artery occlusion
C0027858	neuroma
C0019189	chronic hepatitis
C0149696	food intolerance
C0009088	cluster headache
C0026948	mycosis fungoides
C0009782	connective tissue disease
C0085662	macrocytosis
C0040147	thyroiditis
C0003079	Anisocoria
C0221780	rectal discharge
C0019357	Herpes ophthalmic
C0041952	calculus ureteric
C0162299	thyroid cyst
C0019693	HIV disease
C0334192	Endometrial Atrophy
C0020635	hypopituitarism
C0025345	Menstrual Disorder
C0038131	dysphemia
C0029936	oophorectomy
C0156404	irregular menstrual cycle
C0021345	infectious mononucleosis
C0403645	bladder atony
C0025637	methaemoglobinaemia
C0030299	pancreatic pseudocyst
C0086692	Benign Neoplasm
C0079102	Cerebral thrombosis
C1527411	retinal vein thrombosis
C0024198	Lyme Disease
C0024110	lung abscess
C0022665	kidney neoplasm
C0013369	diarrhea infectious
C0026603	motion sickness
C0020595	hypoaldosteronism
C0241353	testicular swelling
C0032273	pneumoconiosis
C0190211	coronary angioplasty
C0152459	Skin Striae
C0085679	hyperchloremia
C0010043	corneal ulcer
C0235267	eye redness
C0085681	hyperphosphatemia
C0030326	panniculitis
C0038220	status epilepticus
C0574960	sacroiliitis
C0553730	chondrocalcinosis pyrophosphate
C0040586	Tracheobronchitis
C0034359	pyuria
C0001816	agnosia
C0085786	fibrosing alveolitis
C0342951	hypervitaminosis
C0032708	Porphyria
C0021933	intussusception
C0149793	amaurosis fugax
C0023532	leukoplakia of mouth
C0085207	gestational diabetes
C0302314	xanthoma
C0497481	Penile pain
C0029124	optic atrophy
C0024894	breast inflammation
C0259817	xerosis
C0032776	postmenopausal bleeding
C0037929	spinal cord injury
C0281839	esophageal rupture
C0016479	food poisoning
C0034888	rectal prolapse
C0018843	heat stroke
C0020532	hypersplenism
C0009774	conjunctivitis viral
C0085762	alcohol abuse
C0023524	multifocal leukoencephalopathy
C0149508	eustachian tube obstruction
C0026780	Mumps
C0030848	Peyronies Disease
C0262497	global amnesia
C0022667	papillary necrosis
C0010930	dacrocystitis
C0243010	encephalitis viral
C0221247	avascular necrosis
C0025160	megacolon
C0036091	Salivary Gland Calculus
C0008313	Cholangitis sclerosing
C0029089	ophthalmoplegia
C0018924	haemarthrosis
C0029429	osteochondrosis
C0014541	epiglottitis
C0015645	fasciitis
C0151463	Breast abscess
C0027932	Neurosis
C0015401	foreign body in eye
C0027086	myoma
C0014743	Erythema nodosum
C0040259	tinea pedis
C0020555	hypertrichosis
C0032739	tuberculin test positive
C0020619	hypogonadism
C0161446	brachial plexus injury
C0521620	hydroureter
C0009326	Collagen disease
C0025362	mental retardation
C0019159	Hepatitis A
C0039591	testes pain
C0036130	Salpingitis
C0235328	colonic obstruction
C0154251	disorders of lipid metabolism
